status, oldUrl, newUrl,failure, actual
passed,the user opens /A23314 on the old website,the user verifies resulting resource /3-106-9445,null,
passed,the user opens /A23315 on the old website,the user verifies resulting resource /1-106-9446,null,
passed,the user opens /A23316 on the old website,the user verifies resulting resource /9-106-9447,null,
passed,the user opens /A23319 on the old website,the user verifies resulting resource /3-106-9450,null,
passed,the user opens /A23324 on the old website,the user verifies resulting resource /5-106-9454,null,
passed,the user opens /A23326 on the old website,the user verifies resulting resource /0-106-9456,null,
passed,the user opens /A23329 on the old website,the user verifies resulting resource /4-106-9459,null,
passed,the user opens /A23331 on the old website,the user verifies resulting resource /0-106-9461,null,
passed,the user opens /A23334 on the old website,the user verifies resulting resource /4-106-9464,null,
passed,the user opens /A23336 on the old website,the user verifies resulting resource /9-106-9466,null,
passed,the user opens /A23337 on the old website,the user verifies resulting resource /7-106-9467,null,
passed,the user opens /A23338 on the old website,the user verifies resulting resource /5-106-9468,null,
passed,the user opens /A23339 on the old website,the user verifies resulting resource /3-106-9469,null,
passed,the user opens /A23340 on the old website,the user verifies resulting resource /1-106-9470,null,
passed,the user opens /A23341 on the old website,the user verifies resulting resource /9-106-9471,null,
passed,the user opens /A23343 on the old website,the user verifies resulting resource /5-106-9473,null,
passed,the user opens /A23345 on the old website,the user verifies resulting resource /0-106-9475,null,
passed,the user opens /A23347 on the old website,the user verifies resulting resource /6-106-9477,null,
passed,the user opens /A23348 on the old website,the user verifies resulting resource /4-106-9478,null,
passed,the user opens /A23350 on the old website,the user verifies resulting resource /0-106-9480,null,
passed,the user opens /A23352 on the old website,the user verifies resulting resource /6-106-9482,null,
passed,the user opens /A23356 on the old website,the user verifies resulting resource /4-106-9483,null,
passed,the user opens /A23357 on the old website,the user verifies resulting resource /2-106-9484,null,
passed,the user opens /A23363 on the old website,the user verifies resulting resource /3-106-9488,null,
passed,the user opens /A23372 on the old website,the user verifies resulting resource /1-106-9489,null,
passed,the user opens /A23380 on the old website,the user verifies resulting resource /4-101-7130,null,
passed,the user opens /A23397 on the old website,the user verifies resulting resource /2-101-7145,null,
passed,the user opens /A23410 on the old website,the user verifies resulting resource /0-107-4325,null,
passed,the user opens /A23495 on the old website,the user verifies resulting resource /7-106-9491,null,
passed,the user opens /A23497 on the old website,the user verifies resulting resource /5-106-9492,null,
