status, oldUrl, newUrl,failure, actual
passed,the user opens /a35809 on the old website,the user verifies resulting resource /0-107-6391,null,
passed,the user opens /A35810 on the old website,the user verifies resulting resource /8-107-6392,null,
passed,the user opens /A35814 on the old website,the user verifies resulting resource /9-107-6396,null,
passed,the user opens /A35815 on the old website,the user verifies resulting resource /7-107-6397,null,
passed,the user opens /a35818 on the old website,the user verifies resulting resource /9-107-6400,null,
passed,the user opens /A35819 on the old website,the user verifies resulting resource /7-107-6401,null,
passed,the user opens /A35821 on the old website,the user verifies resulting resource /5-107-6402,null,
passed,the user opens /a35823 on the old website,the user verifies resulting resource /1-107-6404,null,
passed,the user opens /a35827 on the old website,the user verifies resulting resource /2-107-6408,null,
passed,the user opens /A35829 on the old website,the user verifies resulting resource /8-107-6410,null,
passed,the user opens /A35830 on the old website,the user verifies resulting resource /6-107-6411,null,
passed,the user opens /A35832 on the old website,the user verifies resulting resource /2-107-6413,null,
passed,the user opens /A35835 on the old website,the user verifies resulting resource /5-107-6416,null,
passed,the user opens /A35837 on the old website,the user verifies resulting resource /1-107-6418,null,
passed,the user opens /A35843 on the old website,the user verifies resulting resource /9-107-6424,null,
passed,the user opens /A35845 on the old website,the user verifies resulting resource /4-107-6426,null,
passed,the user opens /A35848 on the old website,the user verifies resulting resource /2-107-6427,null,
passed,the user opens /A35852 on the old website,the user verifies resulting resource /4-107-6431,null,
passed,the user opens /A35854 on the old website,the user verifies resulting resource /0-107-6433,null,
passed,the user opens /A35857 on the old website,the user verifies resulting resource /3-107-6436,null,
passed,the user opens /A35861 on the old website,the user verifies resulting resource /5-107-6440,null,
passed,the user opens /A35863 on the old website,the user verifies resulting resource /1-107-6442,null,
passed,the user opens /A35864 on the old website,the user verifies resulting resource /9-107-6443,null,
passed,the user opens /A35866 on the old website,the user verifies resulting resource /4-107-6445,null,
passed,the user opens /A35871 on the old website,the user verifies resulting resource /4-107-6450,null,
passed,the user opens /A35872 on the old website,the user verifies resulting resource /2-107-6451,null,
passed,the user opens /A35876 on the old website,the user verifies resulting resource /6-107-6454,null,
passed,the user opens /A35878 on the old website,the user verifies resulting resource /1-107-6456,null,
